Unnamed: 0,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
1216,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,20.0,834.0,,,,,0.39932885906040266,160.0,5.0,
1056,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,300.0,,8.0,,,,,,,,,0.738255033557047,,,
775,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30.0,,8.0,,T,25.0,300.0,676.0,52.0,,,0.738255033557047,,,
1221,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,BCC,,,7.6,,C,400.0,1115.0,,,,,0.6577181208053692,260.0,5.0,
997,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,1.25,,8.1,,T,25.0,460.0,599.0,27.0,,182.0,0.6812080536912751,,,
194,Al0.357 Co0.714 Cr0.714 Cu0.714 Fe0.714 Ni0.714 V1,BCC,CAST,BCC,,,7.3,577.0,,25.0,,,,,,0.587248322147651,,,
4,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,204.0,,,,,0.6946308724832215,,,
1029,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,,T,25.0,210.0,,57.0,,,0.738255033557047,,,
1079,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,FCC,,,7.4,,T,600.0,594.0,1006.0,12.0,,,0.6208053691275168,,,
1157,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,,,9.9,,,380.0,,,,,84.5,0.35906040268456374,,,
143,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,FCC,250.0,,7.8,275.0,C,25.0,620.0,,,75.0,,0.7046979865771812,,,
1540,Hf1 Nb1 Ta1 Ti1,BCC,CAST,BCC,,,10.9,270.0,,,,,,,,0.39932885906040266,,,
964,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,BCC,,12.29,12.4,,C,1200.0,735.0,,,,,0.7684563758389261,,,
787,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,,,8.2,,T,-253.0,,1240.0,62.0,,,0.7583892617449665,,,
1040,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,FCC,,,8.4,,T,600.0,214.0,,,189.2,,0.6778523489932886,,,
1211,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,BCC,,,12.1,,C,400.0,627.0,,,,,0.6644295302013423,90.0,5.0,
1406,Cr1 Fe1 Ni1 Ti0.4,BCC,CAST,BCC,,,7.4,600.3,C,25.0,2475.41,,6.5,,,0.7114093959731543,,,
342,Mo1 Nb1 Ta1 V1 W1,BCC,CAST,BCC,,,12.4,,C,800.0,846.0,,17.0,,,0.7684563758389261,,,
434,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,BCC,,,6.0,,C,1000.0,375.0,,,,,0.6342281879194631,,,
1139,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,BCC,60.0,,9.9,,,20.0,,,,,88.9,0.35906040268456374,,,
239,Al1 Cu0.889 Fe0.667 Ni0.889 Ti1,FCC,CAST,FCC,,,5.9,516.0,C,25.0,980.0,1326.0,,7.0,145.0,0.4395973154362416,,,
697,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,FCC,ANNEAL,FCC,289.7,,7.8,,T,25.0,210.0,503.0,70.0,,,0.7181208053691275,,,
1218,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,BCC,,,10.9,,C,600.0,473.0,,,,,0.39932885906040266,160.0,5.0,
170,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25.0,700.0,1650.0,22.0,21.6,,0.6510067114093959,,,
404,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,,C,700.0,426.0,,,,,0.6342281879194631,,,
304,Nb1 Ti1 V1 Zr1,BCC,OTHER,BCC,,,6.5,,C,600.0,834.0,,50.0,,,0.33557046979865773,,,
104,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,BCC,,,6.2,,C,25.0,1481.0,2444.0,,13.0,,0.5671140939597316,,,
176,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,7.6,225.0,,25.0,,,,,,0.6342281879194631,,,
915,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,BCC,,7.81,7.4,,C,23.0,882.0,,,,,0.3389261744966443,,,
900,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC,WROUGHT,FCC,17.1,,8.0,,T,25.0,270.0,630.0,46.2,,,0.738255033557047,,,
412,Al1 Co0.5 Cr0.5 Cu0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,6.3,,C,700.0,567.0,,,,,0.5234899328859061,,,
310,Hf1 Mo0.25 Nb1 Ta1 Ti1 Zr1,BCC,CAST,BCC,,,9.9,395.0,C,25.0,1112.0,,50.0,,96.0,0.3859060402684564,,,
501,Hf0.5 Nb0.667 Ta0.333 Ti1 Zr0.833,BCC,WROUGHT,BCC,,,8.4,,C,72.0,1020.0,,,,,0.33557046979865773,,,
