Test temp,YS,Solidus temperature,W,Nb,Hf,Mo,Re,Zr,Ta,Ti,C,Y,Al,Si,V,Cr,YS_Class
1783.15,253.0371351,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
1783.15,170.9896717,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
1922.038889,111.0053917,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
1922.038889,83.42641239,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
2033.15,64.12112688,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
2033.15,81.35798894,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
2199.816667,48.95268826,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
2199.816667,57.22638205,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
2477.5944440000003,53.77900964,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
2477.5944440000003,48.26321378,3693.60864,0.999952875850675,1.9786966481623816e-06,1.0299374906095606e-06,1.915930616976556e-06,9.872536623161348e-07,2.0151883572185004e-06,1.0159474800086109e-06,3.840506877366464e-06,1.530543191232208e-05,2.067732806096567e-06,6.813308266029616e-06,6.545496526638319e-06,3.6087186812108106e-06,0.0,0
